time,cpu,memory,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
0.0,5.5,38.8,47160832,409600,1048,1481
1.0104897022247314,2.1,38.7,65043456,582144,1103,1659
2.022057056427002,2.3,38.7,85565440,2662912,1104,1659
3.038623571395874,2.3,38.7,87918592,6509056,1190,1713
4.050973415374756,2.8,38.8,95249920,7862784,1905,2861
5.062531232833862,2.4,38.7,98957312,20118528,7243,8115
6.073328018188477,11.5,38.7,101947392,27587584,10219,11396
7.085469961166382,10.1,38.7,104394752,30434304,16677,18417
8.09735631942749,4.9,38.7,106988544,30712832,20460,24176
9.10897445678711,1.9,38.7,109690368,33027072,24626,29212
10.120878219604492,1.1,38.7,112100864,36795392,25046,73180
11.132009744644165,11.7,38.7,114557952,39216128,26924,148837
12.143579244613647,2.4,38.7,117258240,39379968,28252,150982
13.155949354171753,0.8,38.7,146593280,43070464,36082,158888
14.167325258255005,1.2,38.7,149878784,45589504,40449,163255
15.17850136756897,0.9,38.7,152397312,47649792,40503,163309
16.18994402885437,1.1,38.7,155086848,48702464,44932,174355
17.206313848495483,0.7,38.7,157643776,48890880,45096,174463
18.21826457977295,2.0,38.7,160084480,48915456,51273,180215
19.23075580596924,4.0,38.7,163222528,49931264,60858,191787
20.247713565826416,1.4,38.7,166244352,49931264,61734,253585
21.259406566619873,9.7,38.7,169614848,50127872,62787,311796
22.27025866508484,1.9,38.7,173158912,50177024,64824,316908
23.282135009765625,0.8,38.7,175556096,50279424,64824,316908
24.293558835983276,0.7,38.7,178070528,50394112,64824,316908
25.304580211639404,0.7,38.7,180627456,50452480,64824,316908
26.31572937965393,0.6,38.7,183068160,50546688,64879,316962
27.327298879623413,0.9,38.7,185508864,50690048,64976,317070
28.33860158920288,1.0,38.7,188182016,50703360,64976,317070
29.350404977798462,0.8,38.7,191306240,50787328,68267,317678
30.361724853515625,1.6,38.5,193746944,51012608,71363,325973
31.373182773590088,2.5,38.7,197001728,51103232,71471,326640
32.38466501235962,1.8,38.7,200023552,54072832,71471,326640
33.39567017555237,2.4,38.7,203863040,54416896,71579,326826
34.40765404701233,0.9,38.7,206486528,57751552,71896,327276
35.419132471084595,0.6,38.7,209029632,63653888,71950,327357
36.43060278892517,1.3,38.8,217006080,82008064,72089,327569
37.44219470024109,1.0,38.7,220015104,84469760,73363,329415
38.45378804206848,1.3,38.7,223057408,87312384,74462,346999
39.46441411972046,9.9,38.7,225385984,89393152,80470,456955
40.4769926071167,10.8,38.7,228756480,91531264,84339,458426
41.48881006240845,3.2,38.7,231778304,93665280,88393,466023
42.50115084648132,11.8,38.7,234102784,95901696,90312,469983
43.51267766952515,4.4,38.7,236543488,96032768,93036,472814
44.52404069900513,3.9,38.7,239120896,98162688,97955,477735
45.53723382949829,4.3,38.7,241865216,100485120,100550,480459
46.54865217208862,1.9,38.7,244378624,102717440,101792,589752
47.559985876083374,9.3,38.7,246589440,103444992,102577,599088
48.571117639541626,2.5,38.7,249146368,103444992,102809,599417
49.582236528396606,2.0,38.7,251819520,103522816,102918,599641
50.59860110282898,2.1,38.7,254608896,104641024,102918,599641
51.61072778701782,2.4,38.7,257282560,104719872,106078,602884
52.62244248390198,2.2,38.7,259959808,105047552,109746,608507
53.63402462005615,1.7,38.7,262517248,105564160,110016,609383
54.6450731754303,2.3,38.7,265422848,105629696,110016,609383
55.65673089027405,2.5,38.7,267863552,105830400,111159,610526
56.66746544837952,2.6,38.7,270795776,106211328,113863,611829
57.67846131324768,2.0,38.7,273352704,106256384,114680,664051
58.690372705459595,2.2,38.7,275909632,107141120,115166,664537
59.701878786087036,2.3,38.7,278236160,107280384,115275,664776
60.713754653930664,2.1,38.7,281438720,107337728,115456,664994
61.724931716918945,2.3,38.7,283995648,110258176,116753,665577
62.737464427948,3.2,38.8,287391232,110503936,119518,669477
63.749613523483276,3.4,38.7,308517376,111561216,123101,674904
64.7608289718628,2.9,38.8,317700608,114633216,123209,675415
65.77353882789612,10.2,38.7,322743296,120723968,123251,675457
66.78433609008789,9.9,38.7,327674880,120789504,123305,675615
67.79628157615662,3.5,38.7,331962368,124046336,123521,675858
68.80784058570862,10.5,38.7,334668800,126919168,123575,675939
69.81972432136536,3.0,38.7,339085312,129122816,123630,676005
70.83149719238281,2.9,38.8,341990912,129376768,123870,676245
71.8430917263031,2.3,38.7,344780288,131604992,123870,676245
72.85426092147827,2.2,38.7,347342848,133927936,126328,676907
73.86536455154419,3.0,38.7,350860800,136160256,131059,684241
74.87607789039612,2.4,38.7,353766400,136160256,132223,689646
75.88790988922119,1.9,38.7,356327424,138294272,132223,689646
76.8993330001831,1.7,38.7,359000576,140481536,132387,689700
77.91286253929138,1.6,38.7,361750016,142845440,132472,689754
78.92454409599304,1.4,38.7,364633088,142865920,132843,690389
79.93587017059326,2.1,38.7,367422464,142886400,132898,690574
80.94758415222168,2.1,38.7,370161152,142939648,141924,701371
81.95903539657593,2.9,38.7,372718080,143742464,141978,701492
82.97090291976929,2.2,38.7,375391744,143762432,141978,701654
83.98281192779541,2.4,38.7,378073088,143901696,145258,706366
84.9945080280304,2.2,38.7,380746240,144184320,162477,725977
86.00563406944275,2.0,38.7,383535616,144368640,163005,726750
87.01667618751526,1.8,38.7,386208768,144466944,166339,730084
88.02854919433594,2.4,38.8,388790784,145771008,167772,755986
89.03999876976013,2.3,38.7,391188480,146041344,167857,756040
90.05104756355286,3.6,38.7,394629632,146172416,174152,761506
91.06502175331116,5.1,38.7,398348800,146303488,177499,765025
92.07709312438965,2.1,38.7,401138176,146315776,177661,800773
93.0890040397644,10.8,38.7,404806656,147413504,179644,885733
94.10303449630737,3.1,38.7,408758272,147511808,179876,886129
95.11476492881775,1.7,38.7,411672064,149203456,183058,886671
96.1268572807312,1.7,38.7,414461440,149268992,186848,895729
97.13822364807129,2.3,38.7,417600000,149680128,186848,895729
98.1501476764679,2.3,38.7,420389376,149704704,186848,895729
99.16504454612732,2.3,38.7,423062528,149819392,186956,895891
100.17615556716919,2.0,38.7,426111488,149868544,187011,898734
101.18761539459229,2.2,38.7,428784640,150233088,187011,898734
102.19939112663269,1.8,38.7,431458304,150532608,187012,898734
103.21081805229187,2.0,38.7,434164224,150622720,187013,898734
104.22242617607117,2.3,38.7,436837376,150635008,187014,898734
105.23453211784363,1.7,38.7,439161856,150675968,187015,898734
106.24565005302429,2.1,38.8,441486336,150688256,201343,905401
107.26218342781067,3.6,38.9,444625408,151016960,282897,949265
108.27344870567322,2.0,38.9,447182336,151209472,283036,950243
109.2849805355072,2.1,38.9,449855488,151307776,283233,950585
110.2964084148407,2.1,38.9,452528640,151533056,283342,950705
111.30839395523071,9.7,38.9,455595008,151635456,283397,950863
112.3188054561615,10.8,38.9,459082752,151759360,292675,957271
113.33131766319275,3.6,39.0,462685696,152238592,292676,957271
114.34899306297302,11.6,38.9,465358848,152349184,292785,957433
115.36074447631836,3.2,38.6,468613120,152459776,292786,957433
116.37209987640381,1.7,38.6,471053824,152795648,309997,958652
117.38463044166565,2.5,38.6,473726976,152807936,314181,964974
118.39619469642639,3.1,38.6,476749312,158543872,317246,969709
119.40766310691833,2.4,38.6,479538688,158765056,317246,969709
120.4200050830841,2.2,38.6,482328064,158826496,317302,969775
121.4304838180542,2.1,38.6,485001216,158855168,322142,971255
122.4430091381073,2.7,38.6,487731712,159309824,325913,978658
123.45491600036621,3.0,38.6,492555776,160632832,326625,1002587
124.46678900718689,2.7,38.6,495826944,161138688,327513,1005572
125.48197531700134,2.9,38.6,500127232,161368064,328270,1006173
126.49625754356384,2.2,38.6,502568448,165706240,328324,1006331
127.50825572013855,1.8,38.6,505379328,165826048,329103,1006331
128.52021169662476,2.9,38.6,508052480,165903872,340988,1020818
129.53351426124573,4.4,38.6,510613504,167169536,346202,1037975
130.5468292236328,2.8,38.6,513635328,167169536,346311,1038095
131.55891299247742,10.7,38.6,516192256,167448064,348852,1159307
132.57103943824768,5.3,38.6,521028608,168074752,348949,1159404
133.58371806144714,2.8,38.6,523828736,168418816,349231,1159686
134.5952606201172,1.8,38.6,526269440,168467968,349273,1159728
135.6069140434265,1.9,38.6,528710144,168476160,349273,1159728
136.61968970298767,2.1,38.5,532080640,168685056,350777,1160503
137.63315773010254,4.2,38.5,534638080,168838656,355902,1165496
138.64544653892517,5.4,38.5,538124800,168941056,358783,1168888
139.6574432849884,3.0,38.5,541262848,169268736,366210,1270154
140.67003560066223,9.3,38.5,543471104,169379328,366940,1296239
141.68118500709534,2.1,38.5,546144256,169440768,366994,1296397
142.69377779960632,2.2,38.5,549166080,169461248,366994,1296397
143.7048225402832,2.3,38.5,551606784,169526784,366994,1296397
144.7163372039795,2.3,38.5,554422784,169649664,366994,1296397
145.72740864753723,1.6,38.5,556863488,169731584,367102,1296559
146.73904490470886,1.9,38.5,559420416,169797120,367102,1296559
147.75149822235107,2.3,38.5,561861120,170038784,367102,1296559
148.7650077342987,2.5,38.5,564781056,170128896,367102,1296559
149.77766370773315,2.4,38.5,567337984,170296832,369505,1297047
150.7901210784912,2.2,38.5,569894912,170464768,373720,1305003
151.80197834968567,2.0,38.5,572335616,170489344,373883,1305911
152.8136751651764,1.7,38.5,575008768,170501632,373883,1305911
153.828515291214,2.3,38.5,578187264,170554880,379145,1311488
154.84011149406433,1.9,38.5,580873216,171587072,385817,1327728
155.86027550697327,3.2,38.5,584012800,172815872,387197,1331152
156.8744125366211,9.3,38.5,586685952,172914176,387197,1331152
157.88655161857605,10.5,38.5,589707776,172938752,387197,1331152
158.89789819717407,4.3,38.5,592962048,173135360,390792,1334628
159.91007089614868,4.4,38.5,596348416,173352448,396180,1339616
160.9254789352417,3.6,38.5,598905344,173442560,397122,1340381
161.93984246253967,9.2,38.5,601810944,173483520,404340,1466679
162.9513487815857,3.0,38.5,604948992,173733376,410706,1474434
163.96259212493896,2.5,38.5,608203264,173925888,410706,1474434
164.9751193523407,3.3,38.5,610643968,174233088,410706,1474434
165.98614263534546,1.9,38.5,613388800,174282240,410706,1474434
166.99968099594116,2.1,38.5,615786496,174487040,411032,1474620
168.01195311546326,2.4,38.5,618227200,174675456,411032,1474674
169.02219343185425,2.2,38.5,620784128,174839296,411140,1475000
170.03506517410278,1.7,38.5,623108608,174867968,411140,1475000
171.04634952545166,2.0,38.5,625781760,174917120,411249,1475224
172.05833554267883,2.1,38.5,628222464,175064576,413652,1475820
173.06984066963196,2.2,38.5,630779392,175207936,416758,1480466
174.08851861953735,2.9,38.6,633816576,178482176,418691,1486164
175.10458827018738,2.0,38.6,636385792,179854336,458890,1526777
176.11688041687012,2.7,38.6,638882304,180071424,472138,1540187
177.1305148601532,2.3,38.6,641285120,180423680,494496,1562568
178.14699172973633,1.7,38.6,644204544,181160960,495626,1563957
179.1606523990631,1.8,38.6,646645248,181300224,496590,1571114
180.17295241355896,10.9,38.6,650829312,181500928,497766,1571727
181.1850504875183,9.6,38.5,658500096,181660672,497875,1571969
182.19646310806274,5.1,38.5,663149056,181697536,497875,1571969
183.2134826183319,8.3,38.5,672651264,181726208,497875,1571969
184.22555947303772,2.5,38.5,677547520,181980160,501485,1577711
185.23728823661804,2.3,38.6,679872000,182111744,504591,1581204
186.249196767807,2.5,38.6,682143232,182325760,504800,1581595
187.26070737838745,2.0,38.5,685089792,182432256,505440,1586112
188.2752184867859,2.3,38.5,687415296,183193600,511340,1586882
189.28673315048218,2.2,38.5,689927680,183377920,511394,1586936
190.29797053337097,3.2,38.6,693252096,183566336,511479,1586990
191.31521558761597,2.5,38.6,696366592,198520832,511743,1587281
192.3269600868225,2.1,38.5,698972160,200454144,511828,1587335
193.33858346939087,2.0,38.5,701317120,200454144,511936,1587497
194.35045862197876,2.1,38.5,703533568,205475840,512715,1587497
195.3625133037567,2.0,38.5,705974272,205574144,517445,1592631
196.37349605560303,2.0,38.5,708414976,205594624,518214,1596769
197.38457870483398,2.5,38.5,710855680,205705216,518433,1596943
198.3963360786438,2.0,38.5,713180672,205824512,518487,1597083
199.4076201915741,3.0,38.6,716159488,206205440,518596,1597307
200.41863131523132,2.2,38.5,718526976,206279168,518596,1597307
201.43056082725525,1.7,38.5,720852480,206431744,518705,1597531
202.44236254692078,2.2,38.5,723293184,206448128,518705,1597531
203.45473718643188,2.0,38.5,725618176,206602752,518705,1597531
204.4663212299347,1.7,38.5,727942656,206766592,518705,1597531
205.47818040847778,0.8,38.5,730383360,206766592,518705,1597531
206.48989701271057,0.7,38.5,732707840,206782976,524542,1602881
